Detailed_ICD9_Code,Detailed_ICD9_Short_Title,Detailed_ICD9_Long_Title,RolledUp_ICD9_Code,RolledUp_ICD9_Short_Title,RolledUp_ICD9_Long_Title
0010,Cholera d/t vib cholerae,Cholera due to vibrio cholerae,0010,Cholera d/t vib cholerae,Cholera due to vibrio cholerae
0011,Cholera d/t vib el tor,Cholera due to vibrio cholerae el tor,0010,Cholera d/t vib cholerae,Cholera due to vibrio cholerae
0019,Cholera NOS,"Cholera, unspecified",0010,Cholera d/t vib cholerae,Cholera due to vibrio cholerae
0020,Typhoid fever,Typhoid fever,0020,Typhoid fever,Typhoid fever
0021,Paratyphoid fever a,Paratyphoid fever A,0020,Typhoid fever,Typhoid fever
0022,Paratyphoid fever b,Paratyphoid fever B,0020,Typhoid fever,Typhoid fever
0023,Paratyphoid fever c,Paratyphoid fever C,0020,Typhoid fever,Typhoid fever
0029,Paratyphoid fever NOS,"Paratyphoid fever, unspecified",0020,Typhoid fever,Typhoid fever
0030,Salmonella enteritis,Salmonella gastroenteritis,0030,Salmonella enteritis,Salmonella gastroenteritis
0031,Salmonella septicemia,Salmonella septicemia,0030,Salmonella enteritis,Salmonella gastroenteritis
00320,Local salmonella inf NOS,"Localized salmonella infection, unspecified",0030,Salmonella enteritis,Salmonella gastroenteritis
00321,Salmonella meningitis,Salmonella meningitis,0030,Salmonella enteritis,Salmonella gastroenteritis
00322,Salmonella pneumonia,Salmonella pneumonia,0030,Salmonella enteritis,Salmonella gastroenteritis
00323,Salmonella arthritis,Salmonella arthritis,0030,Salmonella enteritis,Salmonella gastroenteritis
00324,Salmonella osteomyelitis,Salmonella osteomyelitis,0030,Salmonella enteritis,Salmonella gastroenteritis
00329,Local salmonella inf NEC,Other localized salmonella infections,0030,Salmonella enteritis,Salmonella gastroenteritis
0038,Salmonella infection NEC,Other specified salmonella infections,0030,Salmonella enteritis,Salmonella gastroenteritis
0039,Salmonella infection NOS,"Salmonella infection, unspecified",0030,Salmonella enteritis,Salmonella gastroenteritis
0040,Shigella dysenteriae,Shigella dysenteriae,0040,Shigella dysenteriae,Shigella dysenteriae
0041,Shigella flexneri,Shigella flexneri,0040,Shigella dysenteriae,Shigella dysenteriae
0042,Shigella boydii,Shigella boydii,0040,Shigella dysenteriae,Shigella dysenteriae
0043,Shigella sonnei,Shigella sonnei,0040,Shigella dysenteriae,Shigella dysenteriae
0048,Shigella infection NEC,Other specified shigella infections,0040,Shigella dysenteriae,Shigella dysenteriae
0049,Shigellosis NOS,"Shigellosis, unspecified",0040,Shigella dysenteriae,Shigella dysenteriae
0050,Staph food poisoning,Staphylococcal food poisoning,0050,Staph food poisoning,Staphylococcal food poisoning
0051,Botulism food poisoning,Botulism food poisoning,0050,Staph food poisoning,Staphylococcal food poisoning
0052,Food pois d/t c. perfrin,Food poisoning due to Clostridium perfringens (C. welchii),0050,Staph food poisoning,Staphylococcal food poisoning
0053,Food pois: clostrid NEC,Food poisoning due to other Clostridia,0050,Staph food poisoning,Staphylococcal food poisoning
0054,Food pois: v. parahaem,Food poisoning due to Vibrio parahaemolyticus,0050,Staph food poisoning,Staphylococcal food poisoning
00581,Food poisn d/t v. vulnif,Food poisoning due to Vibrio vulnificus,0050,Staph food poisoning,Staphylococcal food poisoning
00589,Bact food poisoning NEC,Other bacterial food poisoning,0050,Staph food poisoning,Staphylococcal food poisoning
0059,Food poisoning NOS,"Food poisoning, unspecified",0050,Staph food poisoning,Staphylococcal food poisoning
0060,Ac amebiasis w/o abscess,Acute amebic dysentery without mention of abscess,0060,Ac amebiasis w/o abscess,Acute amebic dysentery without mention of abscess
0061,Chr amebiasis w/o absces,Chronic intestinal amebiasis without mention of abscess,0060,Ac amebiasis w/o abscess,Acute amebic dysentery without mention of abscess
0062,Amebic nondysent colitis,Amebic nondysenteric colitis,0060,Ac amebiasis w/o abscess,Acute amebic dysentery without mention of abscess
0063,Amebic liver abscess,Amebic liver abscess,0060,Ac amebiasis w/o abscess,Acute amebic dysentery without mention of abscess
0064,Amebic lung abscess,Amebic lung abscess,0060,Ac amebiasis w/o abscess,Acute amebic dysentery without mention of abscess
0065,Amebic brain abscess,Amebic brain abscess,0060,Ac amebiasis w/o abscess,Acute amebic dysentery without mention of abscess
0066,Amebic skin ulceration,Amebic skin ulceration,0060,Ac amebiasis w/o abscess,Acute amebic dysentery without mention of abscess
0068,Amebic infection NEC,Amebic infection of other sites,0060,Ac amebiasis w/o abscess,Acute amebic dysentery without mention of abscess
0069,Amebiasis NOS,"Amebiasis, unspecified",0060,Ac amebiasis w/o abscess,Acute amebic dysentery without mention of abscess
0070,Balantidiasis,Balantidiasis,0070,Balantidiasis,Balantidiasis
0071,Giardiasis,Giardiasis,0070,Balantidiasis,Balantidiasis
0072,Coccidiosis,Coccidiosis,0070,Balantidiasis,Balantidiasis
0073,Intest trichomoniasis,Intestinal trichomoniasis,0070,Balantidiasis,Balantidiasis
0074,Cryptosporidiosis,Cryptosporidiosis,0070,Balantidiasis,Balantidiasis
0075,Cyclosporiasis,Cyclosporiasis,0070,Balantidiasis,Balantidiasis
0078,Protozoal intest dis NEC,Other specified protozoal intestinal diseases,0070,Balantidiasis,Balantidiasis
0079,Protozoal intest dis NOS,Unspecified protozoal intestinal disease,0070,Balantidiasis,Balantidiasis
00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified",00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00801,Int inf e coli entrpath,Intestinal infection due to enteropathogenic E. coli,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00802,Int inf e coli entrtoxgn,Intestinal infection due to enterotoxigenic E. coli,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00803,Int inf e coli entrnvsv,Intestinal infection due to enteroinvasive E. coli,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00804,Int inf e coli entrhmrg,Intestinal infection due to enterohemorrhagic E. coli,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00809,Int inf e coli spcf NEC,Intestinal infection due to other intestinal E. coli infections,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00867,Int inf enterovirus NEC,Enteritis due to enterovirus nec,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00869,Other viral intes infec,Enteritis due to other viral enteritis,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
0088,Viral enteritis NOS,"Intestinal infection due to other organism, not elsewhere classified",00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00861,Intes infec rotavirus,Enteritis due to rotavirus,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00862,Intes infec adenovirus,Enteritis due to adenovirus,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00863,Int inf norwalk virus,Enteritis due to norwalk virus,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00864,Int inf oth sml rnd vrus,Enteritis due to other small round viruses [SRV's],00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00865,Enteritis d/t calicivirs,Enteritis due to calicivirus,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00866,Intes infec astrovirus,Enteritis due to astrovirus,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00844,Int inf yrsnia entrcltca,Intestinal infection due to yersinia enterocolitica,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00845,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00846,Intes infec oth anerobes,Intestinal infection due to other anaerobes,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00847,Int inf oth grm neg bctr,Intestinal infection due to other gram-negative bacteria,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00849,Bacterial enteritis NEC,Intestinal infection due to other organisms,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
0085,Bacterial enteritis NOS,"Bacterial enteritis, unspecified",00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
0081,Arizona enteritis,Intestinal infection due to arizona group of paracolon bacilli,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
0082,Aerobacter enteritis,Intestinal infection due to aerobacter aerogenes,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
0083,Proteus enteritis,Intestinal infection due to proteus (mirabilis) (morganii),00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00841,Staphylococc enteritis,Intestinal infection due to staphylococcus,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00842,Pseudomonas enteritis,Intestinal infection due to pseudomonas,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
00843,Int infec campylobacter,Intestinal infection due to campylobacter,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
0090,Infectious enteritis NOS,"Infectious colitis, enteritis, and gastroenteritis",0090,Infectious enteritis NOS,"Infectious colitis, enteritis, and gastroenteritis"
0091,Enteritis of infect orig,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",0090,Infectious enteritis NOS,"Infectious colitis, enteritis, and gastroenteritis"
0092,Infectious diarrhea NOS,Infectious diarrhea,0090,Infectious enteritis NOS,"Infectious colitis, enteritis, and gastroenteritis"
0093,Diarrhea of infect orig,Diarrhea of presumed infectious origin,0090,Infectious enteritis NOS,"Infectious colitis, enteritis, and gastroenteritis"
01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01001,Prim TB complex-no exam,"Primary tuberculous infection, bacteriological or histological examination not done",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
